time,open,high,low,close,Volume,Volume MA
2019-09-23T21:00:00-03:00,9685.69,9782,7998,8536.82,28154.41355726,5885.452282067568
2019-09-24T21:00:00-03:00,8536.71,8746.83,8216,8432.16,17435.8678913,6529.464444918069
2019-09-25T21:00:00-03:00,8443.44,8467.89,7733.99,8055.03,16662.32021152,6827.504958283069
2019-09-26T21:00:00-03:00,8055.25,8294.04,7866,8187.72,10165.85293694,7178.3721574620695
2019-09-27T21:00:00-03:00,8199.96,8356.4,8009.84,8218.07,6315.48953894,7337.603582635069
2019-09-28T21:00:00-03:00,8218.07,8244.07,7902.66,8047.6,5366.5707177,7302.9439813380695
2019-09-29T21:00:00-03:00,8060.13,8368.5,7714.7,8298.45,9518.99210777,7545.94751619857
2019-09-30T21:00:00-03:00,8304.47,8531.25,8195.42,8319.01,10224.59198253,7826.459690653569
2019-10-01T21:00:00-03:00,8326.41,8393.39,8170.91,8373.42,4952.5341152,7838.134062092568
2019-10-02T21:00:00-03:00,8377.68,8419.23,8029.14,8239.92,8701.12039607,8085.419210774069
2019-10-03T21:00:00-03:00,8243.39,8244.93,7986.65,8152.07,6278.78141904,8266.55055520157
2019-10-04T21:00:00-03:00,8157.89,8195,8016.26,8145.17,4445.10406787,8373.91962015607
2019-10-05T21:00:00-03:00,8150.73,8176.46,7772.71,7854.12,6454.53572694,8421.84453180907
2019-10-06T21:00:00-03:00,7863.75,8313.7,7763.54,8205.53,9363.32718459,8636.08095825057
2019-10-07T21:00:00-03:00,8211.04,8344.12,8109.74,8178.54,3577.72287319,8617.366760116569
2019-10-08T21:00:00-03:00,8185.85,8707.8,8110,8586.34,11634.19484623,8826.28093184507
2019-10-09T21:00:00-03:00,8586.57,8666.84,8450.61,8582.11,7435.43199033,8974.883430327069
2019-10-10T21:00:00-03:00,8589.08,8820,8222.88,8265.55,7824.58718752,9158.66779895507
2019-10-11T21:00:00-03:00,8265.16,8427.76,8254.68,8303.43,1828.83312447,9089.411750393569
2019-10-12T21:00:00-03:00,8303.43,8474.48,8132.91,8282.96,4445.28381368,9039.277784454569
2019-10-13T21:00:00-03:00,8278.39,8416.67,8215.41,8362.99,4294.6073892,7846.28747605157
2019-10-14T21:00:00-03:00,8353.33,8420.85,8086,8155.13,5044.66127938,7226.727145455569
2019-10-15T21:00:00-03:00,8162.45,8179.1,7912.66,7995.89,8644.40011646,6825.83114070257
2019-10-16T21:00:00-03:00,7995.73,8130.71,7936.71,8073.32,5395.88599206,6587.33279345857
2019-10-17T21:00:00-03:00,8069.26,8120.77,7811.62,7955.08,5611.09353737,6552.11299338007
2019-10-18T21:00:00-03:00,7950.48,8096.76,7875,7960.49,3461.12529207,6456.84072209857
2019-10-19T21:00:00-03:00,7965.39,8314.77,7874.68,8235.74,6358.92499072,6298.837366246071
2019-10-20T21:00:00-03:00,8236.49,8352,8156,8213.65,4919.73416831,6033.59447553507
2019-10-21T21:00:00-03:00,8206.53,8314.77,7989.15,8025.9,5678.93483059,6069.91451130457
2019-10-22T21:00:00-03:00,8021.57,8052.04,7293.55,7470.77,13306.06717262,6300.161850132069
2019-10-23T21:00:00-03:00,7470.77,7512,7356,7435,4997.4230935,6236.093933855069
2019-10-24T21:00:00-03:00,7427,8784.29,7393.14,8662.66,19113.79549622,6969.528505272569
2019-10-25T21:00:00-03:00,8677.09,10350,8642.46,9252.75,38751.80025476,8584.391731663569
2019-10-26T21:00:00-03:00,9262.72,9819.92,9092.66,9557.08,17783.02515594,9005.37663023107
2019-10-27T21:00:00-03:00,9547.32,9950,9177.84,9216.44,14722.01859796,9562.59141646957
2019-10-28T21:00:00-03:00,9216.39,9573.35,9051.48,9426.94,9059.61157854,9433.86225308507
2019-10-29T21:00:00-03:00,9426.94,9437.06,8985.25,9159.94,8814.43804818,9502.812555977569
2019-10-30T21:00:00-03:00,9169.55,9438.61,8961.53,9150.07,10113.15940929,9617.24116706607
2019-10-31T21:00:00-03:00,9158.08,9303.53,9054.6,9250.45,6640.55238456,9857.827130070571
2019-11-01T21:00:00-03:00,9250.7,9396.91,9201.19,9304.75,2701.13696278,9770.619787525571
2019-11-02T21:00:00-03:00,9304.75,9384.32,9067,9207,2539.21833111,9682.85033462107
2019-11-03T21:00:00-03:00,9207,9586.5,9122.33,9410.76,4962.44231548,9678.73938642607
2019-11-04T21:00:00-03:00,9410.76,9485,9165.2,9320.14,4979.57899177,9495.498330191569
2019-11-05T21:00:00-03:00,9319.1,9448.19,9254.68,9344.78,4670.23465673,9459.215763425069
2019-11-06T21:00:00-03:00,9346.02,9373.48,9080,9199.36,3975.97661681,9377.459917397067
2019-11-07T21:00:00-03:00,9209.3,9253.39,8661,8767.37,9699.74677043,9689.390991315067
2019-11-08T21:00:00-03:00,8760.38,8876.94,8720,8812.21,2271.51792167,9485.020637862568
2019-11-09T21:00:00-03:00,8806.85,9142.33,8750.85,9024.49,2663.27825012,9372.197841953068
2019-11-10T21:00:00-03:00,9029.88,9075.32,8593,8720.36,6392.97505953,9407.899853400068
2019-11-11T21:00:00-03:00,8720.36,8872.47,8549,8813.91,4721.84995043,8978.688992290567
2019-11-12T21:00:00-03:00,8817,8839.46,8700,8755.24,3185.82098874,8888.108887052567
2019-11-13T21:00:00-03:00,8765.53,8791.78,8555,8636.9,3412.80581524,8103.059403003566
2019-11-14T21:00:00-03:00,8632.07,8799.03,8363,8463.49,5213.70141434,6426.154460982567
2019-11-15T21:00:00-03:00,8459.38,8539.53,8423,8484.63,1180.57339029,5596.031872700066
2019-11-16T21:00:00-03:00,8485.61,8631.6,8375,8499.31,2074.00770126,4963.631327865065
2019-11-17T21:00:00-03:00,8499.53,8508.4,8010.7,8170.65,4825.65562506,4751.933530191065
2019-11-18T21:00:00-03:00,8176.9,8197.77,7989.15,8121.63,4412.39464174,4531.831359869065
2019-11-19T21:00:00-03:00,8124.08,8231.04,8027.28,8088.44,2996.00619203,4175.973699006065
2019-11-20T21:00:00-03:00,8085.54,8116.92,7394.09,7611.51,9374.99957046,4312.696058301065
2019-11-21T21:00:00-03:00,7612.23,7714.7,6785,7285.85,20120.14646602,5183.646533463065
2019-11-22T21:00:00-03:00,7276.21,7356.49,7102.16,7320.39,5550.47222776,5334.2092282955655
2019-11-23T21:00:00-03:00,7330.98,7349.68,6861.96,6908.36,6047.01776023,5388.438000533065
2019-11-24T21:00:00-03:00,6900.9,7380,6515,7122.14,18716.60131311,6075.2891166000645
2019-11-25T21:00:00-03:00,7127.12,7344.91,7018.78,7159.22,7643.84956815,6223.969862171065
2019-11-26T21:00:00-03:00,7168.74,7676.27,6847.72,7527.84,15156.9919345,6783.020628055565
2019-11-27T21:00:00-03:00,7517.82,7659.92,7372.19,7436.72,6925.58489749,6644.312534408566
2019-11-28T21:00:00-03:00,7429.32,7870.35,7411.17,7753.69,7658.87160206,6913.680218428065
2019-11-29T21:00:00-03:00,7753.69,7815,7452.08,7550.67,5446.27351349,7052.829981596566
2019-11-30T21:00:00-03:00,7560.2,7560.2,7233.87,7412.66,5477.97290774,7007.079874007066
2019-12-01T21:00:00-03:00,7411.75,7431.07,7140.08,7309.64,4324.30016255,6987.202384613066
2019-12-02T21:00:00-03:00,7317.94,7415,7238.04,7300.43,2552.20229834,6955.521450093067
2019-12-03T21:00:00-03:00,7299.2,7772.71,7087.09,7197.78,7737.39153487,7171.750736074568
2019-12-04T21:00:00-03:00,7199.58,7500,7150.06,7390.42,4641.75678879,7143.1535047970665
2019-12-05T21:00:00-03:00,7397.35,7618.99,7305.56,7541.79,4167.2401632,7292.486843442568
2019-12-06T21:00:00-03:00,7535.46,7638.88,7486.7,7502.65,2034.573719,7290.515144329567
2019-12-07T21:00:00-03:00,7505.86,7580,7382.69,7524.26,1798.77041268,7139.170883710567
2019-12-08T21:00:00-03:00,7516.8,7666,7268.03,7340.52,6582.21279072,7247.661791159568
2019-12-09T21:00:00-03:00,7332.05,7400,7150.23,7216.07,4090.62092926,7302.392528021068
2019-12-10T21:00:00-03:00,7224.5,7271,7122.28,7207.42,3419.93896517,7004.639497756568
2019-12-11T21:00:00-03:00,7208.95,7296.19,7072.2,7188.42,4376.88899274,6217.476624092568
2019-12-12T21:00:00-03:00,7185.15,7302.35,7179.65,7257.47,3178.07849595,6098.856937502069
2019-12-13T21:00:00-03:00,7255.94,7269,7007.48,7059.03,2012.34890643,5897.123494812068
2019-12-14T21:00:00-03:00,7066.35,7225.23,7007,7115.08,1848.34572822,5053.710715567568
2019-12-15T21:00:00-03:00,7115.08,7147.91,6820,6882.19,5923.05547919,4967.671011119568
2019-12-16T21:00:00-03:00,6882.08,6938.77,6550,6612.3,7107.25638535,4565.184233662068
2019-12-17T21:00:00-03:00,6619.53,7449.68,6425,7286.91,12873.63439214,4862.586708394569
2019-12-18T21:00:00-03:00,7286.91,7372.12,7000,7149.57,5936.55634536,4776.4709455595685
2019-12-19T21:00:00-03:00,7157.53,7218.11,7072.61,7194.11,3201.66392251,4664.2404660105685
2019-12-20T21:00:00-03:00,7194.13,7194.13,7109.73,7147.4,1689.08199513,4474.795920380068
2019-12-21T21:00:00-03:00,7147.4,7530,7124.52,7509.7,3796.22608082,4448.392216293568
2019-12-22T21:00:00-03:00,7521.88,7692.98,7247.86,7316.17,6710.7673604,4656.320469396568
2019-12-23T21:00:00-03:00,7317.47,7431.1,7156,7251.52,4194.58980335,4479.180382820568
2019-12-24T21:00:00-03:00,7247.45,7266.81,7110.73,7195.79,1504.52751296,4322.318919029069
2019-12-25T21:00:00-03:00,7195.8,7432,7150,7188.3,3116.74715162,4269.794268450069
2019-12-26T21:00:00-03:00,7195.17,7255.37,7052,7246,4024.57086599,4369.294125799569
2019-12-27T21:00:00-03:00,7247.86,7349.65,7231,7296.24,1579.70272647,4358.34074148907
2019-12-28T21:00:00-03:00,7297.43,7524.46,7274.43,7385.54,2583.85134193,4158.422669049569
2019-12-29T21:00:00-03:00,7372.79,7384.9,7199,7220.24,3722.91334933,4140.037290053069
2019-12-30T21:00:00-03:00,7222.74,7302.35,7112.55,7168.36,2638.69130899,4100.97490724407
2019-12-31T21:00:00-03:00,7160.69,7237.35,7150,7178.68,1119.10969318,3938.0859422660697
2020-01-01T21:00:00-03:00,7174.7,7184.94,6900,6950.56,3972.70795427,3977.817415182069
2020-01-02T21:00:00-03:00,6945.7,7402.31,6853.53,7338.91,8072.72908749,4280.83642423507
2020-01-03T21:00:00-03:00,7332.58,7396.1,7256.03,7344.48,3256.73735349,4351.25600549857
2020-01-04T21:00:00-03:00,7356.05,7495,7310,7356.7,2707.27385549,4190.4669243135695
2020-01-05T21:00:00-03:00,7352.12,7817,7342.46,7762.74,6728.28277831,4171.518243961569
2020-01-06T21:00:00-03:00,7768.17,8220,7697.03,8159.01,12158.32281238,4135.752664973569
2020-01-07T21:00:00-03:00,8151.79,8463.57,7872.09,8044.44,11913.23248192,4434.586471801569
2020-01-08T21:00:00-03:00,8048.94,8048.94,7737.97,7806.78,5957.24423978,4572.36548766507
2020-01-09T21:00:00-03:00,7812.7,8200,7667,8200,8999.98825687,4937.910800752069
2020-01-10T21:00:00-03:00,8200,8286,8000,8016.22,3788.3273136,4937.51586239107
2020-01-11T21:00:00-03:00,8008.1,8190,7960,8180.76,2056.08675369,4704.78183205557
2020-01-12T21:00:00-03:00,8180.75,8196.81,8039,8105.01,4011.43909644,4695.62429671007
2020-01-13T21:00:00-03:00,8105.01,8895,8105.01,8813.04,17009.43193382,5470.86951775307
2020-01-14T21:00:00-03:00,8813.2,8903.2,8555,8809.17,8606.88339936,5745.3763301400695
2020-01-15T21:00:00-03:00,8810.62,8852.35,8573.91,8710.15,6713.2584764,5879.810710660569
2020-01-16T21:00:00-03:00,8715.39,9015.22,8661.52,8892.63,9363.15892644,6268.98352065907
2020-01-17T21:00:00-03:00,8898.03,9000.1,8798.9,8908.53,3678.00926615,6323.69141687007
2020-01-18T21:00:00-03:00,8901.02,9188.1,8461.38,8696.6,8785.449927,6576.818245753569
2020-01-19T21:00:00-03:00,8698.97,8740.54,8507.93,8625.17,4420.19825219,6665.893592913568
2020-01-20T21:00:00-03:00,8629.66,8778.66,8480,8717.89,3394.68916005,6779.672566257068
2020-01-21T21:00:00-03:00,8728.47,8792.98,8567.68,8655.93,3143.81212331,6738.2277747090675
2020-01-22T21:00:00-03:00,8661.63,8665.95,8280,8378.44,8611.0107876,6765.1418597145675
2020-01-23T21:00:00-03:00,8382.08,8530.7,8212.9,8422.13,6430.43023326,6923.826503703068
