time,open,high,low,close
2009-10-26T22:00:00Z,78.68,79.89,77.81,79.39
2009-10-27T22:00:00Z,79.47,79.83,77.06,77.08
2009-10-28T22:00:00Z,77.11,80.46,77.03,80.01
2009-10-29T22:00:00Z,79.98,80.21,76.85,76.99
2009-11-01T22:00:00Z,77.02,78.66,76.56,78.17
2009-11-02T22:00:00Z,78.09,79.77,76.55,79.5
2009-11-03T22:00:00Z,79.47,81.06,79.12,80.26
2009-11-04T22:00:00Z,80.29,80.52,79.34,79.73
2009-11-05T22:00:00Z,79.8,80.34,76.71,77.65
2009-11-08T22:00:00Z,77.87,80.19,77.77,79.43
2009-11-09T22:00:00Z,79.24,80.51,77.89,78.84
2009-11-10T22:00:00Z,78.88,80.1,78.57,79.28
2009-11-11T22:00:00Z,79.25,79.69,76.52,76.94
2009-11-12T22:00:00Z,76.78,77.67,75.57,76.35
2009-11-15T22:00:00Z,76.58,79.43,76.35,78.9
2009-11-16T22:00:00Z,78.93,79.73,78.14,79.14
2009-11-17T22:00:00Z,79.38,80.33,78.67,79.58
2009-11-18T22:00:00Z,79.63,79.87,77.06,77.46
2009-11-19T22:00:00Z,78.41,78.61,76.76,77.47
2009-11-22T22:00:00Z,77.8,79.92,77.15,77.45
2009-11-23T22:00:00Z,77.45,77.8,75.6,76.02
2009-11-24T22:00:00Z,75.83,78.09,75.5,77.96
2009-11-25T22:00:00Z,77.8,77.94,76.05,76.23
2009-11-26T22:00:00Z,77.8,77.94,72.39,76.05
2009-11-29T22:00:00Z,76.05,78,75.13,77.28
2009-11-30T22:00:00Z,77.35,79.04,77.01,78.37
2009-12-01T22:00:00Z,77.9,78.59,76.22,76.6
2009-12-02T22:00:00Z,76.51,77.5,75.54,76.46
2009-12-03T22:00:00Z,75.83,77.9,74.85,75.47
2009-12-06T22:00:00Z,75.8,76.1,73.7,73.93
2009-12-07T22:00:00Z,74,74.39,72.51,72.62
2009-12-08T22:00:00Z,73.12,73.87,70.13,70.67
2009-12-09T22:00:00Z,70.8,71.39,69.81,70.54
2009-12-10T22:00:00Z,70.57,71.2,69.46,69.87
2009-12-13T22:00:00Z,69.63,70.22,68.59,69.51
2009-12-14T22:00:00Z,69.57,71.15,69.31,70.69
2009-12-15T22:00:00Z,70.78,73.55,70.59,72.66
2009-12-16T22:00:00Z,72.74,73.13,71.21,72.65
2009-12-17T22:00:00Z,72.6,74.69,72.55,73.05
2009-12-20T22:00:00Z,74.39,75.24,73.17,73.72
2009-12-21T22:00:00Z,73.43,74.91,72.72,74.4
2009-12-22T22:00:00Z,74.52,77,74.25,76.67
2009-12-23T22:00:00Z,76.59,78.25,76.19,78.05
2009-12-27T22:00:00Z,77.92,79.12,77.76,78.77
2009-12-28T22:00:00Z,78.66,79.39,78.02,78.87
2009-12-29T22:00:00Z,78.8,79.8,78.46,79.28
2009-12-30T22:00:00Z,79.28,80,79.16,79.62
2010-01-03T22:00:00Z,79.63,81.68,79.63,81.51
2010-01-04T22:00:00Z,81.63,82,80.95,81.77
2010-01-05T22:00:00Z,81.43,83.52,80.85,83.18
2010-01-06T22:00:00Z,83.2,83.36,82.26,82.66
2010-01-07T22:00:00Z,82.65,83.47,81.8,82.75
2010-01-10T22:00:00Z,82.88,83.95,81.96,82.52
2010-01-11T22:00:00Z,82.07,82.34,79.91,80.79
2010-01-12T22:00:00Z,80.06,80.67,78.37,79.65
2010-01-13T22:00:00Z,79.63,80.36,78.92,79.39
2010-01-14T22:00:00Z,79.2,79.31,77.7,78
2010-01-18T22:00:00Z,77.85,79.15,76.76,79.02
2010-01-19T22:00:00Z,79.17,79.36,77.27,77.74
2010-01-20T22:00:00Z,77.56,78.36,75.66,76.08
2010-01-21T22:00:00Z,75.84,76.5,74.01,74.54
2010-01-24T22:00:00Z,74.24,75.42,74.06,75.26
2010-01-25T22:00:00Z,75.28,75.39,73.82,74.71
2010-01-26T22:00:00Z,74.69,75.09,72.65,73.67
2010-01-27T22:00:00Z,73.75,74.49,72.93,73.64
2010-01-28T22:00:00Z,73.68,74.81,72.46,72.66
2010-01-31T22:00:00Z,74.52,74.94,74.52,74.89
2010-02-01T22:00:00Z,74.91,77.37,74.41,77.02
2010-02-02T22:00:00Z,76.99,78.03,76.55,76.96
2010-02-03T22:00:00Z,76.96,77.2,72.48,73.07
2010-02-04T22:00:00Z,72.97,73.92,69.55,71.83
2010-02-07T22:00:00Z,71.78,72.38,70.82,71.67
2010-02-08T22:00:00Z,71.63,74.12,71.36,73.75
2010-02-09T22:00:00Z,73.81,74.94,72.63,74.79
2010-02-10T22:00:00Z,75,76.11,73.81,75.73
2010-02-11T22:00:00Z,75.74,75.81,73.12,74.65
2010-02-14T22:00:00Z,74.52,74.72,74.08,74.11
2010-02-15T22:00:00Z,74.26,77.66,74.26,77.56
2010-02-16T22:00:00Z,77.69,78.2,76.96,77.57
2010-02-17T22:00:00Z,77.65,79.6,76.75,78.71
2010-02-18T22:00:00Z,78.76,80.23,78.05,80.2
2010-02-21T22:00:00Z,80.21,80.73,79.69,80.02
2010-02-22T22:00:00Z,80.06,80.34,78.26,79.01
2010-02-23T22:00:00Z,78.98,80.25,78.98,80.2
2010-02-24T22:00:00Z,80.21,80.32,77.09,78.23
2010-02-25T22:00:00Z,78.24,79.99,77.89,78.22
2010-02-28T22:00:00Z,79.51,80.57,78.09,78.8
2010-03-01T22:00:00Z,78.8,80.91,78.29,79.7
2010-03-02T22:00:00Z,79.7,81.19,79.49,80.89
2010-03-03T22:00:00Z,80.9,81.05,79.76,80.44
2010-03-04T22:00:00Z,80.45,82.03,80.45,81.71
2010-03-07T22:00:00Z,81.72,82.38,80.79,81.73
2010-03-08T22:00:00Z,81.72,81.87,80.2,81.33
2010-03-09T22:00:00Z,81.32,82.99,80.86,82.22
2010-03-10T22:00:00Z,82.23,82.65,81.7,82.6
2010-03-11T22:00:00Z,82.59,83.44,80.93,81.45
2010-03-14T22:00:00Z,80.94,81.27,79.46,79.85
2010-03-15T22:00:00Z,79.96,82.33,79.65,82.24
2010-03-16T22:00:00Z,81.93,83.32,81.93,82.93
2010-03-17T22:00:00Z,82.9,82.96,82.04,82.38
2010-03-18T22:00:00Z,82.33,82.42,80.17,80.9
2010-03-21T22:00:00Z,80.41,81.8,78.9,81.59
2010-03-22T22:00:00Z,81.6,82.16,80.88,81.49
2010-03-23T22:00:00Z,81.52,81.52,79.95,80.12
2010-03-24T22:00:00Z,80.2,81.44,80.12,80.12
2010-03-25T22:00:00Z,80.23,81.43,79.58,80.14
2010-03-28T22:00:00Z,80.34,82.74,80.34,82.28
2010-03-29T22:00:00Z,82.23,82.69,81.81,82.22
2010-03-30T22:00:00Z,82.25,83.8,82.25,83.23
2010-03-31T22:00:00Z,83.45,85.26,83.25,85.13
2010-04-01T22:00:00Z,85.13,85.13,85.13,85.13
2010-04-04T22:00:00Z,85.55,86.87,85.39,86.58
2010-04-05T22:00:00Z,86.6,87.04,86.16,86.59
2010-04-06T22:00:00Z,86.56,86.96,85.56,85.58
2010-04-07T22:00:00Z,85.63,85.84,84.42,85.45
2010-04-08T22:00:00Z,85.45,86.33,84.17,84.94
2010-04-11T22:00:00Z,85.52,85.58,84.11,84.19
2010-04-12T22:00:00Z,84.32,84.36,82.55,83.81
2010-04-13T22:00:00Z,83.8,86.83,83.8,86.63
2010-04-14T22:00:00Z,86.84,87.22,86.24,86.51
2010-04-15T22:00:00Z,86.55,86.55,83.95,86.51
2010-04-18T22:00:00Z,83.92,83.99,82.1,83.18
2010-04-19T22:00:00Z,83.11,84.48,83.11,83.9
2010-04-20T22:00:00Z,83.98,84.59,82.97,83.38
2010-04-21T22:00:00Z,83.31,84.04,81.78,83.56
2010-04-22T22:00:00Z,83.51,85.15,82.96,85.04
2010-04-25T22:00:00Z,85.22,85.61,83.72,83.72
2010-04-26T22:00:00Z,83.97,84.29,81.71,81.71
2010-04-27T22:00:00Z,81.84,83.4,81.34,83.29
2010-04-28T22:00:00Z,83.27,85.63,83.05,85.6
2010-04-29T22:00:00Z,85.41,86.46,85.2,86.15
2010-05-02T22:00:00Z,86.58,87.13,85.85,85.97
2010-05-03T22:00:00Z,86,86.21,82.07,82.07
2010-05-04T22:00:00Z,82.07,82.8,79.19,79.49
2010-05-05T22:00:00Z,80.12,80.36,74.66,76.8
2010-05-06T22:00:00Z,77.07,78.16,74.54,75.4
2010-05-09T22:00:00Z,76.28,78.47,75.98,77.15
2010-05-10T22:00:00Z,77.01,77.65,75.37,75.93
2010-05-11T22:00:00Z,76.09,80.16,74.78,79.99
2010-05-12T22:00:00Z,80.22,80.54,78.49,78.49
