time,open,high,low,close,Shapes,Shapes,Jaw,Teeth,Lips,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,%R,CCI Turbo Histogram,CCI Turbo,CCI 14
2021-12-23T00:00:00Z,48618.99,51386.66,48051.1,50850,0,0,52374.88862516232,49314.946747778784,47661.71678583133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.083738439247705,151.31701800193952,136.75213458760112,151.31701800193952
2021-12-24T00:00:00Z,50850,51864.56,50442.34,50841.48,0,1,52075.09757707291,49072.91215430643,47731.430428665066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.02112179798357,126.92975342746963,96.9370177556592,126.92975342746963
2021-12-25T00:00:00Z,50857.42,51179.36,50190.9,50442.22,0,0,51665.36930191346,48758.82563501813,47990.13134293205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.273412028525648,97.31527597083348,52.637013761678226,97.31527597083348
2021-12-26T00:00:00Z,50421.51,51292.65,49458.85,50791.21,0,0,51263.07704792012,48665.258055640865,48335.88107434564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.80833471660646,108.21048009692156,54.597998520546376,108.21048009692156
2021-12-27T00:00:00Z,50885.32,52098.6,50479.44,50718.11,0,1,50964.27650577242,48710.21767368576,48899.39485947652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.853764279002846,90.43654529545744,38.8061512674843,90.43654529545744
2021-12-28T00:00:00Z,50708.05,50719.59,47300,47543.3,0,0,50625.5029284053,48836.30046447504,49256.54188758122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-68.81263349980203,-52.22533320899827,-199.99999999999508,-52.22533320899827
2021-12-29T00:00:00Z,47597.7,48157.41,46099.94,46483.36,0,0,50424.33231852797,49125.94415641566,49480.383510064974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-84.82415035967524,-84.33002052568604,-121.57316634666797,-84.33002052568604
2021-12-30T00:00:00Z,46474.59,47916.32,45934.37,47150.71,0,0,50316.686370948904,49320.842386863704,49842.110808051984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.74312145574073,-54.27782288589178,-63.26643568212896,-54.27782288589178
2021-12-31T00:00:00Z,47110.3,48589.47,45655.31,46214.37,1,1,50270.7012654913,49452.70583850574,49675.64764644159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.18743179337936,-91.80518363271302,-74.32593796594274,-91.80518363271302
2022-01-01T00:00:00Z,46230,47960.98,46199.9,47777.42,0,0,50338.605014299654,49682.24510869252,49166.25311715327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-66.2182829016529,-33.02176847427717,8.096927699047097,-33.02176847427717
2022-01-02T00:00:00Z,47745.25,47989,46660,47350.22,0,0,50365.26078243045,49598.18884510596,48718.071493722615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-72.76474716733634,-54.305191760016186,35.740444942492026,-54.305191760016186
2022-01-03T00:00:00Z,47290.55,47586.58,45692.13,46439.89,0,0,50366.06764532042,49289.49961446771,48398.9351949781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-87.82330145003559,-89.93603986937977,-58.938102500583774,-89.93603986937977
2022-01-04T00:00:00Z,46464.01,47526,45539.05,45820,0,0,50437.063980295774,48993.980287659244,48135.23615598248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-95.71693180172424,-97.95312797521521,-102.21647402313282,-97.95312797521521
2022-01-05T00:00:00Z,45828.77,46855.06,42413.59,43435.8,0,0,50327.27405873456,48760.031501701844,47973.08892478598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.44544197682804,-155.19759700448978,-177.15607909128926,-155.19759700448978
2022-01-06T00:00:00Z,43417.31,43782.86,42414,43097.6,0,0,50081.22797729344,48550.08256398911,47706.34213982879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-92.93743630620926,-150.00671577029,-107.08483436249332,-150.00671577029
2022-01-07T00:00:00Z,43093.4,43135.35,40600,41535.66,0,0,49838.46774827087,48396.884743490475,47471.57871186303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-91.86283547562309,-169.9931110477985,-106.66395172016352,-169.9931110477985
2022-01-08T00:00:00Z,41576.73,42315.31,40517.05,41690.77,0,0,49629.538690711575,48177.19352555416,46904.12796949042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.86560520828392,-137.22869389394955,-80.45487958970025,-137.22869389394955
2022-01-09T00:00:00Z,41697.32,42796.49,41200,41875.81,0,0,49433.45417604146,47971.609959859896,46142.98837559234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-88.26789160345554,-106.56968484228888,-57.00954513944352,-106.56968484228888
2022-01-10T00:00:00Z,41853.98,42256.55,39558.7,41845.42,1,0,49271.22693173057,47554.449339877414,45287.92570047387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-79.51131137391371,-89.65418230144452,-39.3607598453365,-89.65418230144452
2022-01-11T00:00:00Z,41842.22,43144.74,41284.11,42736,0,0,49068.77524467437,46997.44692239274,44513.57656037909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-64.81695359310444,-54.05096439558946,77.01470906063146,-54.05096439558946
2022-01-12T00:00:00Z,42754.44,44337.26,42471.17,43933.5,0,0,48873.679072007115,46356.22543209364,44010.510248303275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-51.55673325751845,-13.273428162872484,156.20887012739374,-13.273428162872484
2022-01-13T00:00:00Z,43935.01,44456.34,42321,42571.94,0,1,48547.574912621945,45738.71975308193,43389.93319864262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-66.63363146221192,-50.217943136271906,13.547672766778001,-50.217943136271906
2022-01-14T00:00:00Z,42579.44,43468.95,41782.21,43102.35,1,0,48128.40991934334,45271.16040894669,43154.8315589141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.96531558782012,-26.466917802588693,48.85148006332129,-26.466917802588693
2022-01-15T00:00:00Z,43085.76,43826.8,42387.86,43102.01,0,0,47646.814925547704,44725.71848282836,43204.708247131275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.969348659003785,-17.599836491225993,29.504439604627713,-17.599836491225993
2022-01-16T00:00:00Z,43084.77,43495.59,42615,43107.7,0,0,47167.5353158902,44411.80679747481,43241.50059770502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-55.79156639112695,-3.76011573935958,3.52514374372971,-3.76011573935958
2022-01-17T00:00:00Z,43099.08,43209.47,41581,42255.07,0,0,46769.89759928326,44285.857822790465,43118.316478164015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-66.1570419088022,-51.33734176625245,-126.46803321137475,-51.33734176625245
2022-01-18T00:00:00Z,42230.09,42685.25,41290.06,42377.4,0,0,46318.95355318455,44173.70934494166,43116.11918253121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-61.368408357043734,-26.971776503095974,-71.23478755960058,-26.971776503095974
2022-01-19T00:00:00Z,42378.23,42589.9,41145.23,41683.21,0,0,46003.22058755497,43980.19317682395,43103.95434602497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-56.621760684737914,-90.20684107953895,-123.0035353771306,-90.20684107953895
2022-01-20T00:00:00Z,41733.21,43518.69,40554.14,40736.05,0,1,45803.29708081997,43871.08527972096,42962.21047681997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75.96087095009013,-159.3325820817522,-147.3291292311659,-159.3325820817522
2022-01-21T00:00:00Z,40654.72,41115.58,35423,36495.46,0,0,45617.556536141514,43769.11149475584,42767.299381455974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-88.12775783929311,-341.96056358442206,-185.0365231852692,-341.96056358442206
2022-01-22T00:00:00Z,36447.37,36825.98,34000,35091.11,0,0,45387.404494899856,43597.37693291136,42587.35250516478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.56508682770452,-245.74219497107507,-117.6436297118038,-245.74219497107507
2022-01-23T00:00:00Z,35084.79,36574.47,34624.59,36293.62,0,0,45212.014149138326,43396.16169129744,42477.16500413183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78.06479131321282,-142.1385435168729,-58.779520786546456,-142.1385435168729
2022-01-24T00:00:00Z,36262.21,38050,32950.72,36724.99,1,0,45046.11267612769,43205.087104885264,41635.590003305464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67.19629189908933,-102.04657253572427,-32.98763328249274,-102.04657253572427
